RGS_DateTime,BeltStatus,RGS_Ver_Sw,RGS_Dsw,RGS_Cfg,RGS_Indig,RGS_Corrente_R,StDevAdj_lag1_IR,StDev_lag10_IR,TransitionPhase,RGS_Corrente_S,RGS_Corrente_T,Tensione,RGS_Temp_Ext,RGS_Umidita,RGS_Temp_Int,RGS_CO2,RGS_Cosfi,RGS_Velocita,Potenza
2018-10-09 06:53:00.000,Off,11,1,259,312,0,0,Na,Na,0,0,0,18,67,15,531,0,0,0
2018-10-09 06:54:00.000,Off,11,1,259,312,0,0,Na,Na,0,0,0,18,67,15,531,0,0,0
2018-10-09 06:55:00.000,Off,11,1,259,272,0,0,Na,Na,0,0,388,18,67,15,526,1000,0,0
2018-10-09 06:55:00.000,Off,11,1,259,272,0,0,Na,Na,0,0,0,18,67,15,526,1000,360,0
2018-10-09 06:55:00.000,30Hz,11,1,259,272,60,0,Na,Na,60,59,395,18,67,15,526,1000,360,4082.15507830525
2018-10-09 06:56:00.000,30Hz,11,1,259,292,19,28.9913780286484,Na,Na,22,20,393,18,66,15,520,760,351,1051.9021682495
2018-10-09 06:57:00.000,30Hz,11,1,259,276,19,0,Na,Na,22,20,394,18,66,15,520,749,352,1039.31512409079
2018-10-09 06:58:00.000,30Hz,11,1,259,276,19,0,Na,Na,22,20,395,19,66,15,514,753,352,1047.51748163014
2018-10-09 06:59:00.000,30Hz,11,1,259,276,19,0,Na,Na,22,20,392,19,66,17,513,762,352,1051.98669232891
2018-10-09 07:00:00.000,30Hz,11,1,259,260,19,0,18.2650242570633,Na,21,20,393,19,66,17,513,753,351,1025.1281268661
2018-10-09 07:01:00.000,Transition,11,1,259,260,19,0,17.4432412890112,0,22,20,395,19,66,17,514,745,351,1036.38847784124
2018-10-09 07:02:00.000,Transition,11,1,259,276,19,0,16.3370744014955,0,21,20,392,19,65,17,513,746,352,1013.01416351796
2018-10-09 07:03:00.000,Transition,11,1,259,276,19,0,14.8832493465342,0,21,20,394,19,65,17,513,739,351,1008.6286108732
2018-10-09 07:04:00.000,Transition,11,1,259,308,19,0,12.9653384066904,0,21,20,393,19,65,17,513,746,351,1015.59838332286
2018-10-09 07:05:00.000,30Hz,11,1,259,260,19,0,0,1,21,20,392,19,65,17,513,754,351,1023.87758618304
2018-10-09 07:06:00.000,30Hz,11,1,259,292,19,0,0,1,21,20,394,19,65,17,513,746,350,1018.18260312775
2018-10-09 07:07:00.000,30Hz,11,1,259,292,19,0,0,1,21,20,394,19,65,17,513,736,351,1004.53404276411
2018-10-09 07:08:00.000,30Hz,11,1,259,276,19,0,0,1,21,20,393,19,65,17,513,743,351,1011.51420751861
2018-10-09 07:09:00.000,30Hz,11,1,259,308,19,0,0,1,21,20,393,19,65,17,513,738,350,1004.70724784486
2018-10-09 07:10:00.000,30Hz,11,1,259,260,19,0,0,1,21,20,393,19,65,17,513,739,351,1006.06863977961
2018-10-09 07:11:00.000,30Hz,11,1,259,272,19,0,0,1,21,20,393,19,65,17,512,744,350,1012.87559945336
2018-10-09 07:12:00.000,30Hz,11,1,259,272,19,0,0,1,21,20,393,19,64,19,513,749,350,1019.6825591271
2018-10-09 07:13:00.000,30Hz,11,1,259,272,19,0,0,1,21,20,391,19,64,19,513,760,350,1029.39243595434
2018-10-09 07:14:00.000,30Hz,11,1,259,304,19,0,0,1,21,20,393,19,64,19,513,751,350,1022.4053429966
2018-10-09 07:15:00.000,30Hz,11,1,259,272,19,0,0,1,21,20,395,19,64,19,513,751,350,1027.60842362254
2018-10-09 07:16:00.000,30Hz,11,1,259,272,19,0,0,1,21,20,392,19,64,19,513,753,350,1022.5196583499
2018-10-09 07:17:00.000,30Hz,11,1,259,288,19,0,0,1,21,20,393,19,64,19,512,757,350,1030.5736946051
